N_t,time_mean,time_std,memory_estimate,allocations,gc_percent
2,0.12532925,NaN,3.2633543014526367e-6,72,0.0
4,0.262151019,NaN,3.2633543014526367e-6,72,0.0
6,0.407792251,NaN,3.2633543014526367e-6,72,0.0
8,0.559879895,NaN,3.2633543014526367e-6,72,0.0
10,0.687423084,NaN,3.2633543014526367e-6,72,0.0
12,0.835489635,NaN,3.2633543014526367e-6,72,0.0
14,0.973620424,NaN,3.2633543014526367e-6,72,0.0
16,1.13030702,NaN,3.2633543014526367e-6,72,0.0
18,1.25498611,NaN,3.2633543014526367e-6,72,0.0
20,1.399682693,NaN,3.2633543014526367e-6,72,0.0
