Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
8.355261087417603,0,2.5621793,0.06313445791602135,1
1606.8801229000092,1,466.2779,0.07929994538426399,1
3204.968017101288,2,433.5706,0.08450957015156746,1
4802.938295125961,3,432.85843,0.0814967229962349,1
6396.923862934113,4,430.74634,0.08317941054701805,0
7996.922938108444,5,430.2592,0.08472127094864845,1
9590.32760310173,6,430.37216,0.08589647710323334,0
11184.030498027802,7,429.40616,0.08108261227607727,0
12778.235426902771,8,427.84708,0.08180790022015572,0
14377.659588098526,9,429.49792,0.07931321114301682,0
15974.528929948807,10,428.6317,0.07967814803123474,0
17570.405020952225,11,428.64407,0.08124400302767754,0
19165.73512196541,12,429.07166,0.07818460464477539,0
20760.498683929443,13,429.68375,0.08352532982826233,0
22356.275696992874,14,429.89267,0.0864110179245472,1
23948.531275987625,15,434.4305,0.08602603897452354,0
25540.493381023407,16,433.98648,0.08208611607551575,0
27134.647294044495,17,432.2785,0.08545409142971039,0
28725.417627096176,18,432.95926,0.08525069057941437,0
30317.400469064713,19,431.41672,0.0795244500041008,0
31908.58963894844,20,431.35223,0.08144373446702957,0
33501.423655986786,21,432.74933,0.08660778403282166,0
35093.74105501175,22,432.542,0.08421942964196205,0
36685.652487039566,23,431.67136,0.07730184867978096,0
38276.227891922,24,433.05374,0.07863239571452141,0
39869.39899110794,25,432.78763,0.08488504588603973,0
41459.72263598442,26,433.56128,0.08437984436750412,0
43050.197869062424,27,434.01135,0.08332918584346771,0
44640.400165081024,28,435.44504,0.0822015330195427,0
46231.59386110306,29,435.4402,0.08410762250423431,0
47822.643923044205,30,436.2426,0.0860634297132492,0
49412.5279750824,31,435.74133,0.0811259001493454,0
51002.90371489525,32,436.0148,0.08017723262310028,0
52595.44795203209,33,436.47275,0.08181393891572952,0
54186.95892095566,34,436.83173,0.08580825105309486,0
55777.52200007439,35,437.62082,0.0820881575345993,0
57368.37864589691,36,438.0509,0.08490283787250519,0
58960.08109498024,37,438.45593,0.08980189263820648,0
60550.790961027145,38,439.20407,0.07800411060452461,0
62142.12318491936,39,440.35645,0.0815625973045826,0
63733.3083820343,40,440.2368,0.08539792522788048,0
