Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
153.85585618019104,0,3.3565881,0.06413137,0
23076.331143140793,1,492.94193,0.10931997,0
46128.361772060394,2,453.42554,0.1132968,0
69144.14132905006,3,436.87366,0.09579302,0
92131.91775512695,4,418.79184,0.10588124,0
115117.66613316536,5,400.22214,0.10285261,0
138242.40540719032,6,382.19586,0.104586065,0
161370.88401198387,7,365.72473,0.10117999,0
184382.79523205757,8,348.10547,0.09857223,0
207426.01706719398,9,331.90503,0.09805478,0
230444.3906610012,10,318.4586,0.09638514,0
253535.66327500343,11,300.55447,0.08921806,0
276656.61267614365,12,272.44507,0.09196444,0
299786.16418004036,13,273.14066,0.0864646,0
322856.7979981899,14,282.69745,0.085733935,0
345964.58144903183,15,298.832,0.08394124,0
369035.4694170952,16,318.2626,0.07982197,0
392126.6699681282,17,342.13925,0.075346336,0
415196.17237496376,18,355.67944,0.07638682,0
438234.177973032,19,365.08945,0.07772638,0
461327.79332304,20,363.24884,0.073291145,0
