Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
158.5930290222168,0,0.2612805,0.06410926,0
22067.96228480339,1,468.21628,0.09704615,0
44094.20089697838,2,342.2151,0.098970324,0
66026.9579679966,3,298.28156,0.09913907,0
87874.9945909977,4,262.43134,0.10122609,0
109723.81845092773,5,232.78326,0.098166235,0
131624.18804001808,6,203.91684,0.100636765,0
153500.88228797913,7,159.38676,0.09591225,0
175377.09615802765,8,131.03336,0.095474474,0
197269.2020509243,9,110.525986,0.09521639,0
219236.81699681282,10,93.5729,0.09744448,0
241165.1909418106,11,56.013233,0.09248983,0
263071.4949300289,12,29.388077,0.09331764,0
285023.4477028847,13,20.948158,0.090742074,0
307019.4250898361,14,21.17825,0.08761398,0
328930.38747882843,15,49.49121,0.08720421,0
350827.0092778206,16,122.04947,0.07854039,0
372799.7021238804,17,211.1192,0.07622613,0
394802.95337700844,18,324.8002,0.07726038,0
416782.20829081535,19,408.22345,0.07447694,0
438707.25333690643,20,455.95154,0.076223694,0
