Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
275.8651280403137,0,0.72706157,0.06573351,0
17439.647783041,1,63.163834,0.06558814,0
34013.07078790665,2,39.6007,0.0669102,0
52614.37871384621,3,42.6662,0.06911601,0
70255.26792192459,4,33.829792,0.07184408,0
88923.9699268341,5,39.324417,0.07344578,0
108261.17390489578,6,38.367134,0.06887589,0
127000.92595601082,7,32.04869,0.073926084,0
146486.7176539898,8,38.20436,0.07124152,0
165893.1799838543,9,29.007376,0.06932049,0
185632.30798006058,10,36.867203,0.072048634,0
