Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
142.0929970741272,0,16.705177,0.05578937,0
9142.10967707634,1,2250.1,0.08109702,0
18475.971570014954,2,2525.197,0.061849385,0
27763.796237945557,3,1735.8416,0.06541559,0
37087.12729597092,4,2501.9707,0.05853997,0
46307.12857198715,5,1825.6406,0.07889456,0
55637.42247891426,6,1839.928,0.060090113,0
65045.81250214577,7,2483.7356,0.056512613,0
74320.28218603134,8,1708.7523,0.06487247,0
83936.52875304222,9,2479.2397,0.0645514,0
93484.40023493767,10,1827.8163,0.048652098,0
