Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
105.0660948753357,0,2.294436,0.041924205,0
3051.865149974823,1,358.87854,0.06732289,0
5990.249251842499,2,302.61972,0.064799,0
8925.562322854996,3,263.10474,0.06774846,0
11864.21621799469,4,222.49406,0.060967013,0
14803.704725980759,5,181.45235,0.063785434,0
17748.114458799362,6,141.20483,0.067537375,0
20691.490265846252,7,100.83035,0.07264704,0
23632.059337854385,8,60.339287,0.064551935,0
26564.800462961197,9,21.800299,0.06145644,0
29508.255247831345,10,-15.5848875,0.065705985,0
32447.03750181198,11,-52.444103,0.06292732,0
35393.143744945526,12,-92.53121,0.054185804,0
38342.03288078308,13,-128.47871,0.055848543,0
41287.75410294533,14,-153.22887,0.052096765,0
44227.68522787094,15,-173.60974,0.05505272,0
47171.415566921234,16,-191.7636,0.051859595,0
50113.18926692009,17,-208.68814,0.0509886,0
53057.90566778183,18,-228.05853,0.05185922,0
56010.4631319046,19,-250.88951,0.0532948,0
58965.468770980835,20,-281.2296,0.050622158,0
