Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
108.22473001480103,0,-0.5666055,0.041894544,0
1799.2534317970276,1,248.35562,0.0589129,0
3504.4978330135345,2,216.60269,0.063211635,0
5185.780826807022,3,138.39415,0.0643722,0
6881.9812178611755,4,51.862846,0.059560165,0
8578.400768995285,5,-14.798008,0.05794456,0
10281.215700864792,6,-65.084984,0.060641557,0
11971.251066923141,7,-99.63001,0.059171136,0
13662.97573184967,8,-163.17804,0.058213197,0
15357.628193855286,9,-214.69017,0.057787254,0
17039.41829586029,10,-269.36633,0.061208323,0
18731.38521885872,11,-305.4274,0.05866417,0
20429.72947883606,12,-346.4958,0.057996158,0
22121.099275827408,13,-371.76794,0.05509622,0
23790.282188892365,14,-426.32315,0.056217697,0
25483.542630910873,15,-443.1518,0.05410223,0
27179.522015810013,16,-428.14648,0.05419192,0
28874.659413814545,17,-376.78214,0.052065175,0
30576.71987080574,18,-327.23825,0.04932166,0
32250.582454919815,19,-298.98923,0.04843085,0
33945.768986940384,20,-283.44073,0.04958622,0
