Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
55.7783260345459,0,32.786533,0.09513255,1
244.38492798805237,1,2036.6853,0.11288999,1
433.31443309783936,2,896.21375,0.115105234,1
621.8289949893951,3,798.48193,0.1162853,1
810.6063470840454,4,760.2866,0.116099164,1
999.1408469676971,5,742.93646,0.11240565,1
1188.813838005066,6,736.8367,0.110208996,1
1377.6598460674286,7,730.09656,0.11783184,1
1566.5152111053467,8,729.0493,0.11123389,1
1754.6324200630188,9,725.998,0.11359573,0
1943.310909986496,10,719.77795,0.11254419,1
2131.7328069210052,11,715.67017,0.1165597,1
2319.398719072342,12,712.6367,0.110734314,0
2507.8909940719604,13,710.7098,0.11099553,1
2695.4543669223785,14,710.97675,0.11232009,0
2883.4206619262695,15,708.0963,0.11185984,1
3070.6000139713287,16,707.96436,0.11173813,0
3258.089220046997,17,706.02875,0.11365869,0
3446.8768570423126,18,705.6093,0.11224344,1
3634.2862780094147,19,704.9989,0.11366445,0
3821.7528550624847,20,705.6797,0.107864864,0
4009.23783493042,21,704.942,0.112037644,0
4197.676745891571,22,703.9969,0.11288918,1
4385.685576915741,23,705.0371,0.11184092,0
4573.90039896965,24,701.85565,0.109339334,0
4761.948889017105,25,702.5857,0.10723934,0
4949.820820093155,26,701.57104,0.10497044,0
5137.532494068146,27,702.6549,0.113055296,0
5325.938287973404,28,701.1328,0.108014375,1
5513.100605010986,29,701.06476,0.11221021,0
5701.083689928055,30,700.93896,0.10884468,0
5888.74816608429,31,702.8732,0.11138549,0
6076.491774082184,32,700.4929,0.11207204,0
6264.441947937012,33,701.2092,0.10685949,0
6452.230954885483,34,698.88116,0.10712311,0
6640.666913032532,35,699.37384,0.11299352,0
6828.039413928986,36,700.2461,0.11012322,0
7015.362921953201,37,699.86914,0.107893705,0
7202.664799928665,38,699.6486,0.11082235,0
7389.432897090912,39,700.60626,0.10527369,0
7577.921741962433,40,698.0145,0.10818058,1
