Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
63.49578309059143,0,5.055862,0.07341855,1
833.2130320072174,1,607.7353,0.085625805,1
1578.0528900623322,2,431.41214,0.08504121,1
2321.214341878891,3,414.77347,0.08682366,1
3061.3062069416046,4,408.46252,0.08566081,0
3800.9251039028168,5,404.6913,0.08774325,1
4537.285940885544,6,403.3954,0.08555871,0
5273.7080590724945,7,400.901,0.08343293,0
6009.431360960007,8,400.8421,0.08334277,0
6744.900820970535,9,401.80124,0.08977422,0
7479.595920085907,10,402.40692,0.08909884,0
