Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
153.22378587722778,10,-0.013005867,0.101829335,0
13058.988212823868,11,-16.898216,0.106431074,0
25970.669986963272,12,-33.249798,0.105998196,0
38789.082224845886,13,-48.96101,0.09732496,0
51578.958867788315,14,-64.85691,0.10266621,0
64338.40485882759,15,-80.722336,0.10832489,0
77108.43152499199,16,-96.45508,0.10279429,0
89943.41832089424,17,-112.467575,0.10754049,0
102768.87779784203,18,-128.38397,0.10669501,0
115534.17727589607,19,-144.20525,0.09998105,0
128464.31684088707,20,-160.225,0.10357963,0
141337.00655579567,21,-175.95973,0.10676956,0
154169.07511401176,22,-192.00902,0.10184794,0
