Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
86.26060199737549,0,25.177168,0.06451903,1
630.884840965271,1,1608.505,0.13357562,1
1180.0922899246216,2,1828.6075,0.14871436,1
1723.4335598945618,3,1871.3499,0.13375244,1
2260.691833972931,4,1624.9254,0.174322,1
2792.4347949028015,5,1266.5117,0.17582649,1
3323.7252118587494,6,595.28784,0.18246675,1
3854.8366420269012,7,-461.636,0.15651047,1
4386.542232036591,8,-1758.4309,0.1493179,1
4918.050883054733,9,-2575.8838,0.15074657,1
5443.440664052963,10,-4322.866,0.13622895,0
