Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.2132041454315186,0,13.559893,0.16761707,1
629.8163549900055,1,2238.6687,0.12831494,1
1263.2347910404205,2,1714.125,0.13381666,1
1901.1622459888458,3,1600.5261,0.13189784,0
2540.999046087265,4,1527.9985,0.14966002,1
3178.3529591560364,5,1483.986,0.13249141,0
3815.221824169159,6,1458.7081,0.13102145,0
4452.92986702919,7,1442.401,0.13518669,0
5088.789302110672,8,1437.2029,0.14344707,0
5725.406366109848,9,1435.3837,0.13630155,0
6361.052503108978,10,1432.615,0.13812351,0
