Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.1798770427703857,0,13.540168,0.16755751,1
629.833832025528,1,2183.2256,0.12681685,1
1262.1652300357819,2,1699.0005,0.13043647,1
1901.5664200782776,3,1592.5958,0.13279025,0
2529.6156191825867,4,1533.5154,0.14925961,1
3156.593579053879,5,1480.8209,0.13433886,0
3782.8256361484528,6,1457.6604,0.14276703,0
4409.392883062363,7,1445.2229,0.13095011,0
5035.201555967331,8,1440.701,0.13491231,0
5661.987311124802,9,1441.4968,0.13603571,0
6291.106991052628,10,1445.4755,0.13923413,0
