Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.4192109107971191,0,13.069604,0.18422581,1
630.3969559669495,1,3313.6448,0.1344254,1
1263.0360510349274,2,3804.3738,0.13569042,1
1896.959363937378,3,3850.0366,0.14478514,0
2529.1006269454956,4,4297.5605,0.15941902,1
3161.6980650424957,5,4813.35,0.16607146,0
3795.361757040024,6,5019.6387,0.17253155,0
4429.565402984619,7,5131.3657,0.18089068,0
5063.516354084015,8,5407.64,0.18594947,0
5694.850384950638,9,5499.5215,0.18110341,0
6332.8686718940735,10,5611.5703,0.1950062,0
