Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
37.13314199447632,0,13.223404,0.16763458,1
365.6599109172821,1,2592.7017,0.13391384,1
692.8837568759918,2,1908.5994,0.13270336,1
990.4473359584808,3,1824.7234,0.1303501,1
1252.1328268051147,4,1760.5006,0.14026405,1
1514.9343709945679,5,1720.3425,0.13500416,1
1744.391497850418,6,1675.8541,0.13486333,1
1972.6343050003052,7,1657.5125,0.14048475,1
2168.875659942627,8,1624.1659,0.14591487,0
2398.6615409851074,9,1598.2367,0.122610934,1
2594.1916098594666,10,1559.1819,0.13666746,0
