Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
12.868284940719604,0,13.57454,0.17083119,1
636.3193390369415,1,3021.7974,0.096919045,1
1261.9406189918518,2,2481.5964,0.11529448,1
1886.9206359386444,3,2088.0798,0.12208088,0
2512.6116468906403,4,1847.7102,0.13864301,1
3142.3690938949585,5,1746.9272,0.13158138,0
3770.838823080063,6,1693.003,0.14900894,0
4397.594106912613,7,1683.8993,0.14651786,0
5022.951622009277,8,1699.6813,0.15116201,0
5648.415678977966,9,1702.8903,0.15976767,0
6273.653409957886,10,1678.231,0.14843422,0
