Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
118.23890089988708,0,13.604814,0.16771223,1
452.1716570854187,1,2479.5095,0.13541006,1
776.9913201332092,2,1735.2617,0.1332598,1
1068.3126299381256,3,1653.4708,0.13707636,1
1326.5884580612183,4,1571.6866,0.1434483,1
1594.819237947464,5,1539.7965,0.13493016,1
1818.8040430545807,6,1490.154,0.13651602,1
2044.5349490642548,7,1454.0768,0.14537002,1
2235.4240300655365,8,1431.2389,0.13932778,0
2460.208701133728,9,1401.1075,0.12783024,1
2651.650304079056,10,1377.6277,0.1314067,0
