Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.153930902481079,0,13.559249,0.16778736,1
616.7713179588318,1,2162.8904,0.11952267,1
1232.6826639175415,2,1606.763,0.1244904,1
1848.9324388504028,3,1468.5383,0.13098873,1
2465.0776660442352,4,1409.0848,0.13474125,1
3082.1012828350067,5,1381.7227,0.13978018,1
3698.2011580467224,6,1371.6263,0.1346005,1
4314.689443826675,7,1363.222,0.13704279,1
4931.911217927933,8,1357.5713,0.14302295,0
5549.450881958008,9,1356.9469,0.13582206,1
6166.420214891434,10,1347.6106,0.13096644,0
