Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
189.19034099578857,0,0.38387996,0.16770633,1
455.36083602905273,1,24.564096,0.15060888,1
763.2558970451355,2,18.34496,0.1635478,1
1012.7350919246674,3,17.89531,0.15647088,1
1215.4230999946594,4,18.272478,0.14343289,0
1469.5992450714111,5,18.811054,0.18051456,1
1671.0669310092926,6,19.706907,0.16998206,0
1872.5655958652496,7,18.91219,0.17152919,0
2074.4853019714355,8,19.200642,0.17018619,0
2329.717831850052,9,14.022124,0.16090393,1
2531.615607023239,10,15.008673,0.17073743,0
