Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
35.719395875930786,0,13.568504,0.1677018,1
354.9237689971924,1,1852.9807,0.12652873,1
675.7481110095978,2,1560.9198,0.13074152,1
961.3909020423889,3,1504.5217,0.14756335,1
1213.443351984024,4,1463.3574,0.14332701,1
1464.8047831058502,5,1432.2871,0.14091308,1
1684.2967059612274,6,1405.9417,0.1346289,1
1903.8136410713196,7,1385.9646,0.14003806,1
2090.3194448947906,8,1384.1854,0.13606535,0
2311.7060630321503,9,1359.078,0.14556725,1
2499.202987909317,10,1304.1813,0.13892937,0
