Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.3745179176330566,0,13.537646,0.16778071,1
602.944680929184,1,2210.8384,0.11684306,1
1206.439297914505,2,1613.3743,0.1322142,1
1810.2676439285278,3,1520.926,0.119700044,1
2414.60227394104,4,1472.8999,0.13174906,1
3019.1142868995667,5,1450.017,0.14215736,1
3623.031919002533,6,1426.7914,0.13513269,1
4227.0659210681915,7,1411.8729,0.13067566,1
4831.456978082657,8,1394.6713,0.14392966,0
5435.974379062653,9,1377.975,0.1340039,1
6039.619149923325,10,1362.8817,0.13335915,0
