Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
46.404995918273926,0,0.421593,0.16770545,1
269.5304729938507,1,33.53905,0.14829049,1
537.6218299865723,2,20.624863,0.1676669,1
768.2203488349915,3,19.895016,0.16707186,1
952.9135320186615,4,20.014368,0.13911493,0
1185.2031438350677,5,20.345356,0.17969212,1
1369.4617960453033,6,20.110205,0.1641291,0
1554.815973997116,7,19.183357,0.16197337,0
1738.9168329238892,8,18.273321,0.16258873,0
1969.876767873764,9,16.12301,0.17536998,1
2154.381861925125,10,16.476513,0.1522587,0
