Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
36.13062810897827,0,13.537867,0.16771369,1
352.86600494384766,1,1874.5392,0.1326108,1
668.2656869888306,2,1543.6768,0.12981373,1
951.4154009819031,3,1454.8546,0.13273397,1
1202.2773909568787,4,1417.3374,0.13584986,1
1452.9073600769043,5,1387.5587,0.13987972,1
1670.0668981075287,6,1337.7227,0.1307758,1
1887.3979160785675,7,1332.8236,0.12794356,1
2072.039251089096,8,1388.8678,0.12872143,0
2289.36857008934,9,1342.0264,0.13745795,1
2473.5097720623016,10,1307.1877,0.13648744,0
