Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.4108631610870361,0,13.379555,0.16771173,1
607.6180801391602,1,2542.5208,0.12988612,1
1214.6589140892029,2,1585.3651,0.14167759,1
1821.3035600185394,3,1475.9406,0.14219838,1
2427.4488999843597,4,1435.0667,0.13992558,1
3033.682193994522,5,1421.9102,0.13541102,1
3639.686951160431,6,1417.5337,0.12982197,1
4247.684242010117,7,1401.4381,0.14229715,1
4857.091927051544,8,1393.0972,0.1449309,0
5466.282239198685,9,1381.3097,0.14125384,1
6076.968594074249,10,1372.664,0.13768055,0
