Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
35.99975395202637,0,13.223404,0.16766308,1
354.9265899658203,1,1869.5308,0.13550848,1
674.8457210063934,2,1507.1274,0.13242985,1
960.5223889350891,3,1422.583,0.14232932,1
1214.2007930278778,4,1384.1288,0.14025582,1
1468.2628638744354,5,1334.7545,0.14442685,1
1689.5503540039062,6,1280.5074,0.12718876,1
1910.8268959522247,7,1274.9496,0.13647565,1
2099.462553024292,8,1258.6958,0.13929532,0
2321.814255952835,9,1212.4423,0.13850486,1
2511.0567049980164,10,1128.4327,0.13424371,0
