Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
12.151257038116455,0,13.434351,0.1677714,1
613.3714339733124,1,2211.4023,0.12209189,1
1216.7865679264069,2,1600.1843,0.12911832,1
1820.1582479476929,3,1471.076,0.12697738,1
2423.4687089920044,4,1425.2991,0.13121149,1
3027.4111540317535,5,1416.2148,0.14159045,1
3629.9632840156555,6,1391.3468,0.13683009,1
4233.043220996857,7,1390.2172,0.13269468,1
4835.785971879959,8,1384.3704,0.13215402,0
5439.114504098892,9,1372.7675,0.11898464,1
6042.056739091873,10,1371.485,0.12608935,0
