Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
113.30968809127808,0,13.604814,0.1675626,1
436.2807471752167,1,1849.9679,0.12968631,1
751.1323549747467,2,1547.0348,0.13193275,1
1033.4814732074738,3,1530.916,0.14838837,1
1281.810916185379,4,1467.2765,0.14136858,1
1530.220460176468,5,1492.6354,0.13188237,1
1746.255306005478,6,1441.4009,0.13673232,1
1961.325896024704,7,1405.0548,0.14248353,1
2142.9481871128082,8,1409.6696,0.13631769,0
2358.478968143463,9,1422.4823,0.13280647,1
2540.880128145218,10,1393.1642,0.13610841,0
