Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.2191009521484375,0,18.01108,0.23301443,1
641.0694949626923,1,2439.9932,0.1102269,1
1281.3950810432434,2,2201.8352,0.078933544,1
1923.3144979476929,3,1986.6681,0.08241824,0
2563.95117688179,4,1885.5789,0.08971524,1
3206.086632013321,5,1806.9851,0.086551264,0
3845.803405046463,6,1749.044,0.091003664,0
4487.203999042511,7,1710.0168,0.09123079,0
5124.058518886566,8,1682.5945,0.087432235,0
5762.850494861603,9,1664.248,0.089818396,0
6402.344479084015,10,1651.841,0.08939626,0
