Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
36.03198504447937,0,18.026344,0.23318143,1
357.4308879375458,1,2675.4556,0.09769815,1
679.3227479457855,2,2283.0823,0.08608543,1
968.8020100593567,3,2169.691,0.08275286,1
1224.31077003479,4,2070.603,0.08598275,1
1488.3177909851074,5,2005.0591,0.089830026,1
1709.5574550628662,6,1962.5773,0.08927554,1
1932.314250946045,7,1929.8116,0.083101094,1
2121.6402549743652,8,1937.1691,0.09200998,0
2344.277487039566,9,1903.8691,0.088991225,1
2533.3344910144806,10,1871.0043,0.08773263,0
