Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.1996428966522217,0,18.020132,0.23312071,1
632.6531019210815,1,2457.6738,0.11480008,1
1270.5674369335175,2,2219.5388,0.07871924,1
1905.2218198776245,3,2021.6327,0.0836525,0
2548.7957549095154,4,1928.5155,0.08251472,1
3193.005040884018,5,1892.6893,0.08121404,0
3835.827318906784,6,1864.071,0.08104249,0
4479.068943977356,7,1842.7758,0.08314305,0
5122.17062497139,8,1840.4772,0.08199798,0
5766.292095899582,9,1834.8807,0.08404623,0
6409.203362941742,10,1824.2604,0.08406672,0
