Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
36.97824001312256,0,18.029684,0.23303771,1
361.8158519268036,1,2714.9907,0.09449228,1
688.4548909664154,2,2310.4226,0.08898125,1
982.050530910492,3,2209.472,0.0844742,1
1241.0301749706268,4,2131.3616,0.08677486,1
1498.2632670402527,5,2063.6665,0.08514645,1
1721.3529188632965,6,2003.7902,0.08482313,1
1946.1835758686066,7,1981.3024,0.07720995,1
2138.408525943756,8,1980.0508,0.08840499,0
2367.5670568943024,9,1940.1713,0.08952126,1
2558.4683649539948,10,1918.4808,0.08899463,0
