Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.1598360538482666,0,17.861729,0.23315251,1
617.2171311378479,1,3709.3271,0.18671073,1
1230.5994610786438,2,3124.4958,0.15505682,1
1842.9200880527496,3,2984.6084,0.11255422,1
2455.4517390727997,4,2880.6506,0.09377498,1
3068.687952041626,5,2725.4775,0.07651798,1
3681.4846460819244,6,2403.3743,0.07383248,1
4295.484678030014,7,2211.2756,0.07544938,1
4920.211458206177,8,2115.6282,0.07842877,0
5547.218026161194,9,2050.7285,0.07733363,1
6176.232604026794,10,1982.9622,0.080703646,0
