Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
37.32197690010071,0,17.870989,0.25489947,1
328.3968229293823,1,2286.4504,0.08104766,1
598.2447209358215,2,2371.18,0.08573922,1
799.3955729007721,3,2288.343,0.08608272,0
1026.242665052414,4,2252.9094,0.09139331,1
1220.4244320392609,5,2198.7988,0.087692164,0
1416.1338229179382,6,2184.253,0.09044975,0
1608.5904228687286,7,2153.3047,0.0924394,0
1804.447721004486,8,2126.929,0.09465177,0
2003.3436019420624,9,2104.2627,0.09428388,0
2198.9972338676453,10,2085.6233,0.08973682,0
