Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
12.670184135437012,0,18.058197,0.23310477,1
636.8164689540863,1,3040.4194,0.18662384,1
1263.035532951355,2,2573.7498,0.14273974,1
1888.7385849952698,3,2469.4292,0.0983146,1
2515.791876077652,4,2363.4507,0.08598178,1
3143.2013001441956,5,2198.2114,0.074230686,1
3771.5260519981384,6,2066.5105,0.07560587,1
4401.171051979065,7,1975.2711,0.07740888,1
5028.964092969894,8,1937.3138,0.0755181,0
5658.073044061661,9,1903.0706,0.07700505,1
6286.249316930771,10,1864.7074,0.07677492,0
