Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.1427338123321533,0,18.011007,0.23299007,1
602.478108882904,1,2448.6497,0.114017904,1
1206.109356880188,2,2045.7128,0.08161838,1
1809.9094998836517,3,1855.7509,0.08102448,1
2412.792406797409,4,1808.9989,0.08434566,1
3015.995330810547,5,1785.4712,0.082667515,1
3619.1507799625397,6,1767.9407,0.08521233,1
4221.837179899216,7,1758.682,0.08579111,1
4824.559251785278,8,1751.5836,0.08723189,0
5427.249440908432,9,1747.3445,0.08832495,1
6029.916406869888,10,1747.3342,0.089604184,0
