Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
34.81587886810303,0,18.026344,0.23308744,1
349.45056200027466,1,2263.0872,0.08338862,1
663.6274859905243,2,2049.183,0.08661232,1
944.961110830307,3,1978.7858,0.09509277,1
1192.6024057865143,4,1937.7705,0.088465326,1
1441.3872208595276,5,1871.6636,0.09040097,1
1656.8401157855988,6,1827.1333,0.087656766,1
1871.8181948661804,7,1797.8347,0.08810828,1
2054.096284866333,8,1795.1449,0.08768073,0
2270.8448209762573,9,1768.5356,0.09091708,1
2453.899655818939,10,1732.9055,0.091979794,0
