Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.1998791694641113,0,18.020761,0.23315145,1
616.3998491764069,1,2474.198,0.10672692,1
1229.3036119937897,2,2004.8492,0.078571245,1
1842.7319271564484,3,1845.2906,0.07836592,1
2456.819239139557,4,1812.478,0.08423653,1
3069.2450971603394,5,1785.6505,0.07998448,1
3682.61363697052,6,1775.2981,0.08174445,1
4293.86067199707,7,1772.443,0.08768757,1
4907.752920150757,8,1771.063,0.084409036,0
5526.349404096603,9,1763.944,0.08685633,1
6141.427491188049,10,1759.1886,0.08869449,0
