Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
36.41298198699951,0,18.029684,0.23320091,1
359.0775499343872,1,2272.264,0.08250062,1
686.2221729755402,2,2030.1923,0.08231974,1
975.1141140460968,3,1961.1996,0.0902309,1
1231.5788838863373,4,1896.5881,0.08685177,1
1489.6566090583801,5,1855.1492,0.08852182,1
1712.9337229728699,6,1831.7634,0.08520897,1
1936.1746039390564,7,1809.323,0.08643001,1
2134.332937002182,8,1798.124,0.08743987,0
2357.886668920517,9,1764.8607,0.09754431,1
2547.568109035492,10,1735.033,0.093769506,0
