Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
1.1530461311340332,0,17.861729,0.23304406,1
605.2318539619446,1,3146.102,0.10018231,1
1210.6938920021057,2,2378.9822,0.07887729,1
1816.101082086563,3,2047.1931,0.078804314,1
2420.941679954529,4,1984.192,0.07879348,1
3026.3502349853516,5,1971.3573,0.08180145,1
3630.931725025177,6,1953.3762,0.07955254,1
4235.347119092941,7,1937.6266,0.08634953,1
4839.514158010483,8,1934.255,0.08372268,0
5443.480268955231,9,1923.808,0.07927808,1
6048.063844919205,10,1912.3347,0.08487971,0
