Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
183.4463119506836,0,0.50693345,0.23104885,1
419.7877399921417,1,29.69741,0.08543622,1
693.0742080211639,2,25.487217,0.095703065,1
920.8208680152893,3,23.332285,0.10076602,1
1106.7502448558807,4,21.531204,0.1035713,0
1337.4754719734192,5,20.975437,0.108681716,1
1528.3414249420166,6,20.68823,0.10337675,0
1720.0593450069427,7,20.278452,0.10203758,0
1913.5997359752655,8,19.831793,0.10857915,0
2143.3161659240723,9,16.25129,0.10506487,1
2330.586068868637,10,16.92897,0.10679966,0
