Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
114.64599895477295,0,18.051922,0.23310776,1
441.1661648750305,1,2258.414,0.08408096,1
763.2654500007629,2,1981.7577,0.08903559,1
1064.227835893631,3,1899.4689,0.0906869,1
1320.2792298793793,4,1851.1296,0.090656914,1
1577.424465894699,5,1789.6311,0.09316537,1
1800.4386949539185,6,1733.9254,0.08978296,1
2024.4789810180664,7,1705.3906,0.08369928,1
2220.1456139087677,8,1787.1011,0.08776675,0
2443.083421945572,9,1726.6859,0.08994275,1
2633.7635519504547,10,1695.1057,0.0867607,0
