Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
53.020816802978516,0,10.638494,0.037560154,1
221.18942999839783,1,482.78375,0.055165615,1
386.78716492652893,2,265.01746,0.05300278,1
551.7730159759521,3,250.10614,0.053932462,1
716.0905129909515,4,244.9741,0.0564403,0
880.8113579750061,5,240.47086,0.055219993,1
1045.0093848705292,6,237.93456,0.060139034,0
1209.3795080184937,7,236.74103,0.05574399,0
1373.4238839149475,8,234.07716,0.05765574,0
1538.8012869358063,9,232.15149,0.055215593,1
1703.1905229091644,10,229.90982,0.05857177,0
