Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
128.6116600036621,0,2.2924113,0.04192551,0
1591.0901911258698,1,315.49634,0.0653731,0
3048.091546058655,2,252.90121,0.055857927,0
4521.4752740859985,3,213.28297,0.05672838,0
6111.182986974716,4,173.74274,0.06010386,0
8058.904582977295,5,134.04567,0.060461655,0
9936.600463151932,6,94.446625,0.061954092,0
11576.656932115555,7,55.084415,0.06776344,0
13162.083279132843,8,15.132425,0.06366913,0
14629.851827144623,9,-24.519808,0.06039271,0
16089.043698072433,10,-63.85644,0.06366602,0
17537.674165964127,11,-103.49941,0.06136526,0
18995.881847143173,12,-143.90198,0.063187726,0
20441.733319997787,13,-182.78102,0.06544735,0
21896.412358999252,14,-222.54059,0.06199744,0
23353.075760126114,15,-262.24896,0.061577994,0
24803.19858813286,16,-302.11423,0.05688097,0
26244.817811012268,17,-341.27646,0.06462958,0
27688.86365199089,18,-381.5548,0.06683496,0
29149.63375210762,19,-420.73438,0.06747035,0
30603.863837003708,20,-460.6751,0.062486928,0
