Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
87.1314070224762,0,18.961174,0.043019086,1
399.1763210296631,1,1009.17896,0.08427526,1
715.3685171604156,2,836.3901,0.094115175,1
1026.3909010887146,3,969.49646,0.08217088,1
1332.3013751506805,4,973.3857,0.12855124,1
1631.9289541244507,5,873.728,0.16783753,1
1931.9972050189972,6,517.53973,0.17892766,1
2231.9349830150604,7,-40.577847,0.13072424,1
2532.7615060806274,8,-1085.6774,0.1169827,1
2832.6801121234894,9,-2037.625,0.14129412,1
3127.326145172119,10,-4305.657,0.11578528,0
