Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
101.60034012794495,0,9.574015,0.06311888,1
221.97923398017883,1,3025.954,0.08439215,1
330.8730230331421,2,4212.834,0.080060355,1
442.97636914253235,3,4093.8088,0.08142245,1
551.860867023468,4,4121.179,0.082992055,0
665.0537321567535,5,4077.493,0.0771919,1
776.5087370872498,6,4152.239,0.09134439,0
887.601490020752,7,3925.7021,0.09029011,0
999.5470349788666,8,3658.6428,0.092124484,0
1107.6984300613403,9,3165.253,0.09202072,0
1215.2185289859772,10,2813.8005,0.086431414,0
