Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
138.70612001419067,0,0.32994688,0.17054537,0
261.0676200389862,1,268.35236,0.12906244,0
379.1799330711365,2,564.1774,0.13037959,0
496.6108179092407,3,649.8359,0.13586563,0
616.1329870223999,4,665.9278,0.13975611,0
735.0776960849762,5,637.3289,0.13744159,0
857.1817209720612,6,549.1994,0.14568129,0
982.5021500587463,7,385.42426,0.13579866,0
1102.9207410812378,8,445.5585,0.13892396,0
1230.231281042099,9,78.34094,0.14646192,0
1356.8184089660645,10,-259.96506,0.14958547,0
