Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
198.400493144989,0,0.45453477,0.23144619,0
371.54230523109436,1,69.34341,0.08376047,0
537.4105460643768,2,285.8039,0.0906758,0
700.0708010196686,3,593.1615,0.091904216,0
868.1377160549164,4,635.5655,0.09352718,0
1040.4046471118927,5,586.59045,0.095049076,0
1204.5194940567017,6,611.6521,0.09603063,0
1371.7245662212372,7,629.12115,0.095717706,0
1541.7939910888672,8,510.1991,0.09765624,0
1708.196452140808,9,401.87714,0.09824075,0
1873.980817079544,10,527.2746,0.097555175,0
