Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
208.60662508010864,0,0.006895695,1.3609054128125e6,1
1269.1897921562195,1,0.7660273,145081.2665625,1
2338.3525660037994,2,0.2616717,144383.994375,1
3420.3879010677338,3,0.2965497,145593.9021875,1
4499.534463167191,4,0.24260454,145022.7775,0
5578.265703201294,5,0.26355603,145185.28625,1
6657.197218179703,6,0.28199065,144417.505,0
7746.760575056076,7,0.37441513,144304.005,0
8839.225697040558,8,0.34958926,144438.29125,0
9990.750998020172,9,0.3193224,144498.9765625,1
11122.093286037445,10,0.32887673,144702.535625,0
