Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
98.73488092422485,0,-2.8023005,0.048141804,0
178.21837091445923,1,824.5779,0.0877308,0
249.30291891098022,2,918.289,0.096292526,0
320.7149169445038,3,570.9186,0.095035635,0
391.8809061050415,4,467.84094,0.078979574,0
463.41155195236206,5,-204.03984,0.09087807,0
535.1092510223389,6,-429.2254,0.091955066,0
606.6548669338226,7,-1589.0944,0.06712773,0
678.0627229213715,8,-2108.2502,0.085807286,0
749.8891019821167,9,-2566.8,0.07593407,0
821.6302800178528,10,-5546.0376,0.088101566,0
