Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
152.6632478237152,0,2.2924113,0.04192551,0
1614.7691359519958,1,315.41998,0.06537099,0
3094.5155940055847,2,252.61497,0.055860836,0
4680.727312803268,3,212.92334,0.056732837,0
6275.994339942932,4,173.49757,0.060089964,0
7881.045116901398,5,133.73366,0.060459163,0
9477.385487794876,6,94.04671,0.06196041,0
11074.108244895935,7,54.62718,0.06776218,0
12669.941015005112,8,14.80746,0.063661106,0
14268.550145864487,9,-24.800787,0.060383238,0
15865.192888975143,10,-64.21157,0.06366638,0
17459.52255487442,11,-103.78482,0.061355602,0
19075.41687989235,12,-144.06377,0.063191324,0
20754.14697790146,13,-182.97975,0.065441586,0
22400.288462877274,14,-222.84921,0.061964665,0
23991.847225904465,15,-262.45505,0.061578825,0
25592.576732873917,16,-302.25687,0.056884397,0
27295.754824876785,17,-341.46362,0.06464406,0
29011.102178812027,18,-381.77417,0.06684496,0
30770.223207950592,19,-420.99823,0.06716009,0
32471.16380596161,20,-460.99216,0.062366847,0
34060.75210690498,21,-500.8058,0.061734606,0
35678.521631002426,22,-540.2185,0.057282116,0
37270.3370578289,23,-579.64417,0.060071804,0
38859.78789186478,24,-619.6671,0.06580528,0
40449.10804581642,25,-659.6295,0.06395597,0
42040.29371881485,26,-698.88086,0.05792099,0
43629.98817181587,27,-738.7649,0.06338036,0
45220.289186000824,28,-778.36584,0.065568686,0
46808.42503786087,29,-818.0801,0.06148944,0
48397.65620589256,30,-857.7128,0.06107514,0
49986.051152944565,31,-897.1002,0.063973576,0
51573.600648880005,32,-936.8507,0.061213136,0
53159.49333190918,33,-976.89484,0.06617325,0
54748.86265492439,34,-1016.3917,0.06180027,0
56336.48565387726,35,-1055.9462,0.06359354,0
57925.661418914795,36,-1095.6033,0.060047098,0
59513.4056789875,37,-1134.9312,0.060049783,0
61100.796618938446,38,-1175.0936,0.06218095,0
62688.396434783936,39,-1214.881,0.0625428,0
64286.49153184891,40,-1254.504,0.06575059,0
65879.10783600807,41,-1293.691,0.06436948,0
67469.49778294563,42,-1333.1556,0.062160924,0
69061.28744888306,43,-1364.5331,0.06343739,0
70657.45797586441,44,-1406.1187,0.061778642,0
72256.9704618454,45,-1452.3434,0.061016064,0
73857.66030979156,46,-1492.2462,0.06280502,0
75469.51630687714,47,-1531.9119,0.06334661,0
77077.62491583824,48,-1571.5472,0.061209004,0
78686.40586280823,49,-1611.2031,0.061772708,0
80284.21107578278,50,-1650.8562,0.064824045,0
81872.79409098625,51,-1690.8572,0.05914429,0
83503.76994490623,52,-1730.1499,0.060749628,0
85104.54260087013,53,-1769.7273,0.06822131,0
86683.86288690567,54,-1809.2914,0.068548396,0
88257.2929019928,55,-1849.3839,0.064200856,0
89835.977383852,56,-1888.8884,0.06277232,0
91427.70958590508,57,-1928.5848,0.06145607,0
93022.62516379356,58,-1968.5264,0.062021345,0
94622.60041880608,59,-2007.8799,0.06305073,0
96281.72096395493,60,-2047.727,0.06474075,0
97894.29334878922,61,-2087.2336,0.062501624,0
99501.65945291519,62,-2126.7563,0.066000916,0
101108.61318397522,63,-2166.4014,0.06189406,0
102713.81833386421,64,-2205.907,0.06263471,0
104346.25171279907,65,-2245.811,0.06214278,0
106027.2919049263,66,-2285.2803,0.060076956,0
107660.5829398632,67,-2324.848,0.06177211,0
109263.14394283295,68,-2364.778,0.06593895,0
110866.19973087311,69,-2404.3875,0.06055159,0
112469.41030478477,70,-2444.0571,0.0636149,0
114073.50738596916,71,-2483.3335,0.06612744,0
115678.03643894196,72,-2523.5967,0.064441755,0
117289.0403149128,73,-2563.1733,0.066370785,0
118767.37569093704,74,-2602.2686,0.06801054,0
120228.93694090843,75,-2642.051,0.06736993,0
121689.43798184395,76,-2681.7285,0.063409284,0
123153.0372478962,77,-2703.5022,0.06859722,0
124606.80019283295,78,-2761.6282,0.064216204,0
126064.3274679184,79,-2801.1653,0.06592435,0
127524.95430397987,80,-2840.824,0.065612465,0
128982.5721859932,81,-2880.463,0.061173107,0
130431.51159977913,82,-2920.1807,0.06296439,0
131883.51942682266,83,-2959.7563,0.062372155,0
133339.8889389038,84,-2999.2812,0.06201226,0
134793.05191493034,85,-3039.1475,0.059592932,0
136246.29901599884,86,-3078.7375,0.059568632,0
137698.81130599976,87,-3118.2366,0.06449003,0
139152.02900981903,88,-3157.9697,0.06460509,0
140598.57476377487,89,-3197.69,0.06383302,0
142057.97489786148,90,-3237.4187,0.06696668,0
143520.53452897072,91,-3277.337,0.061568033,0
144976.34481787682,92,-3316.5632,0.06534841,0
146432.4559969902,93,-3356.0825,0.06244017,0
147884.31636190414,94,-3395.7021,0.068919234,0
149340.37841582298,95,-3435.4517,0.059661433,0
150794.46482992172,96,-3474.9556,0.059942756,0
152249.6413309574,97,-3514.2354,0.06570812,0
153701.35653996468,98,-3554.449,0.063425206,0
155153.39625692368,99,-3593.8523,0.06554699,0
156602.56284093857,100,-3633.6538,0.063342094,0
