Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
236.1829891204834,0,0.54566103,0.041891918,0
1279.0101010799408,1,20.46822,0.055304777,0
2322.53768992424,2,-50.263268,0.05459845,0
3363.9786019325256,3,-69.68319,0.057914402,0
4428.16633605957,4,-98.8704,0.055893455,0
5570.921926021576,5,-134.92764,0.05607792,0
6712.357577085495,6,-142.98683,0.05769338,0
7846.826691150665,7,-148.61739,0.05821523,0
8964.417786121368,8,-149.33945,0.055750128,0
10062.860939979553,9,-150.68378,0.05709069,0
11122.050941944122,10,-165.0356,0.057210222,0
12154.935250043869,11,-169.0724,0.05623977,0
13194.22950911522,12,-172.55223,0.057557996,0
14225.11706495285,13,-178.93817,0.05591736,0
15251.264382123947,14,-188.02135,0.057600003,0
16277.85758805275,15,-195.57695,0.05702219,0
17307.507238149643,16,-205.70132,0.059186496,0
18335.87188100815,17,-214.67462,0.057454336,0
19367.506004095078,18,-227.73347,0.055078696,0
20402.14126110077,19,-235.10191,0.055532683,0
21429.359580039978,20,-240.91795,0.05641974,0
