Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
100.52160286903381,0,0.31907454,0.055300068,0
2497.911880970001,1,388.80338,0.082309805,0
4824.78586101532,2,392.87778,0.07017196,0
7126.998010873795,3,450.0527,0.10334728,0
9422.208781003952,4,494.5673,0.09943649,0
11718.865555047989,5,467.3112,0.09149375,0
14008.962810993195,6,525.02795,0.10775003,0
16294.906249046326,7,445.38425,0.07915363,0
18577.902421951294,8,503.78015,0.086836666,0
20859.13546395302,9,291.56012,0.08861882,0
23141.020451068878,10,420.72705,0.09725777,0
