Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
151.61842608451843,0,0.54696774,0.05866903,1
336.1244058609009,1,138.13968,0.09262846,1
539.0645940303802,2,126.21256,0.10178,1
937.6561739444733,3,123.15881,0.09854553,1
1229.820249080658,4,119.28948,0.11650982,0
1547.3855409622192,5,118.97047,0.102636635,0
1855.3249740600586,6,117.25573,0.08724621,0
2259.7035179138184,7,113.79234,0.09341353,0
2601.7263119220734,8,115.77377,0.09617572,0
2903.0813958644867,9,116.46569,0.11554227,0
3189.8108038902283,10,112.17921,0.11725769,0
