Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
157.5510218143463,0,0.33137044,0.17065862,0
310.68679785728455,1,408.41214,0.12991223,0
450.65679001808167,2,815.07697,0.13278183,0
592.7663278579712,3,817.19946,0.13465199,0
738.7105429172516,4,1138.4884,0.13759466,0
882.4975638389587,5,877.72955,0.14662461,0
1018.9547619819641,6,898.4307,0.14710936,0
1153.36110496521,7,843.6708,0.14364116,0
1297.3504209518433,8,898.73724,0.14732961,0
1445.1410639286041,9,781.75104,0.14491114,0
1590.862830877304,10,709.59033,0.14580847,0
