Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
123.282310962677,0,3.9942238,0.23129612,0
573.7966840267181,1,486.24774,0.07645115,0
1035.7772328853607,2,233.00098,0.07823029,0
1481.0989649295807,3,391.05167,0.08396079,0
1926.5173699855804,4,538.993,0.090149835,0
2373.661155939102,5,601.9176,0.094043806,0
2820.22034406662,6,665.5261,0.09828158,0
3263.3060319423676,7,679.3486,0.10535696,0
3707.200096845627,8,716.7394,0.10609584,0
4150.6968998909,9,739.1037,0.108355686,0
4614.532803058624,10,729.654,0.11576472,0
