Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
182.66376996040344,0,3.136612,0.16763861,1
533.2088050842285,1,503.26297,0.15749757,1
789.2514569759369,2,578.43713,0.15513015,1
1048.2327299118042,3,593.3576,0.16846547,1
1258.1395599842072,4,609.1461,0.15638989,0
1518.0201399326324,5,583.24713,0.17306775,1
1731.9993150234222,6,597.9455,0.1603871,0
1945.9550631046295,7,616.8626,0.16889948,0
2188.370031118393,8,643.1767,0.17856267,0
2404.8695030212402,9,674.24866,0.15290359,0
2616.756814956665,10,676.1072,0.16356182,0
